#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  36400      3.94e+00    4.16e+00      9.79e-03    3.09e-02      1.64e-01    1.73e-01    5.7e-05
  36600      4.67e+00    6.09e+00      3.84e-04    1.37e-02      1.95e-01    2.54e-01    5.7e-05
  36800      5.90e+00    5.70e+00      5.68e-02    6.58e-02      2.46e-01    2.38e-01    5.7e-05
  37000      2.38e+00    5.09e+00      1.72e-02    2.33e-02      9.94e-02    2.12e-01    5.7e-05
  37200      4.53e+00    4.25e+00      1.11e-01    5.56e-02      1.88e-01    1.77e-01    5.7e-05
  37400      2.84e+00    4.06e+00      9.85e-03    2.06e-02      1.19e-01    1.69e-01    5.7e-05
  37600      1.21e+00    3.52e+00      6.37e-02    1.19e-02      4.99e-02    1.47e-01    5.7e-05
  37800      5.06e+00    5.40e+00      5.74e-02    4.97e-03      2.11e-01    2.25e-01    5.7e-05
  38000      1.42e+00    3.41e+00      2.25e-02    2.48e-02      5.93e-02    1.42e-01    5.7e-05
  38200      3.16e+00    3.36e+00      4.05e-02    1.48e-01      1.32e-01    1.37e-01    5.7e-05
  38400      3.04e+00    5.47e+00      6.74e-02    1.72e-02      1.26e-01    2.28e-01    5.7e-05
  38600      3.76e+00    5.17e+00      8.70e-03    8.08e-02      1.57e-01    2.14e-01    5.7e-05
  38800      3.52e+00    5.25e+00      5.54e-02    1.76e-04      1.47e-01    2.19e-01    5.7e-05
  39000      3.19e+00    5.20e+00      2.76e-01    4.15e-01      1.20e-01    1.98e-01    5.7e-05
  39200      8.30e+00    4.37e+00      6.13e-02    4.57e-02      3.46e-01    1.82e-01    5.7e-05
  39400      4.24e+00    2.44e+00      1.78e-02    6.86e-02      1.77e-01    1.01e-01    5.7e-05
  39600      4.16e+00    3.50e+00      2.45e-02    2.57e-02      1.74e-01    1.46e-01    5.7e-05
  39800      4.70e+00    3.59e+00      2.09e-02    6.20e-03      1.96e-01    1.50e-01    5.7e-05
  40000      1.00e+00    2.66e+00      5.85e-02    4.75e-02      4.28e-02    1.15e-01    5.3e-05
  40200      1.52e+00    2.50e+00      7.79e-02    4.44e-02      6.52e-02    1.08e-01    5.3e-05
  40400      6.15e+00    5.29e+00      1.77e-02    3.59e-02      2.67e-01    2.30e-01    5.3e-05
  40600      1.39e+00    3.84e+00      5.34e-03    5.71e-02      6.04e-02    1.66e-01    5.3e-05
  40800      3.49e+00    4.17e+00      1.50e-02    1.75e-02      1.52e-01    1.81e-01    5.3e-05
  41000      1.15e+00    4.40e+00      2.95e-03    6.39e-03      4.98e-02    1.91e-01    5.3e-05
  41200      1.21e+00    4.76e+00      7.09e-02    6.71e-02      5.17e-02    2.06e-01    5.3e-05
  41400      3.19e+00    2.44e+00      2.65e-02    2.01e-02      1.39e-01    1.06e-01    5.3e-05
  41600      9.23e-01    4.98e+00      5.07e-02    2.88e-03      3.96e-02    2.16e-01    5.3e-05
  41800      1.11e+00    1.34e+01      5.55e-02    5.09e-02      4.77e-02    5.81e-01    5.3e-05
  42000      3.75e+00    4.75e+00      1.28e-01    1.82e-02      1.60e-01    2.06e-01    5.3e-05
  42200      1.09e+00    3.91e+00      5.95e-03    7.16e-03      4.73e-02    1.70e-01    5.3e-05
  42400      8.01e+00    2.69e+00      3.54e-02    5.06e-02      3.48e-01    1.16e-01    5.3e-05
  42600      2.31e+00    1.37e+01      5.46e-02    8.57e-02      9.94e-02    5.93e-01    5.3e-05
  42800      1.26e+00    3.59e+00      6.74e-02    7.26e-02      5.40e-02    1.54e-01    5.3e-05
  43000      4.94e+00    4.22e+00      5.56e-03    2.44e-02      2.15e-01    1.83e-01    5.3e-05
  43200      1.25e+00    3.23e+00      4.70e-02    1.49e-02      5.39e-02    1.40e-01    5.3e-05
  43400      1.62e+00    4.71e+00      4.24e-02    3.05e-02      6.98e-02    2.04e-01    5.3e-05
  43600      5.61e+00    9.01e+00      2.12e-01    2.94e-01      2.39e-01    3.85e-01    5.3e-05
  43800      1.59e+00    4.35e+00      1.72e-02    3.87e-02      6.93e-02    1.89e-01    5.3e-05
  44000      3.44e+00    6.33e+00      1.65e-01    6.05e-02      1.44e-01    2.75e-01    5.3e-05
  44200      4.08e+00    4.44e+00      1.14e-03    4.71e-02      1.77e-01    1.92e-01    5.3e-05
  44400      3.41e+00    3.37e+00      1.08e-01    3.12e-02      1.46e-01    1.46e-01    5.3e-05
  44600      4.24e+00    4.01e+00      1.58e-01    1.63e-01      1.81e-01    1.70e-01    5.3e-05
  44800      3.38e+00    4.24e+00      4.30e-02    6.39e-02      1.46e-01    1.83e-01    5.3e-05
  45000      1.10e+00    3.02e+00      9.03e-02    3.67e-02      4.83e-02    1.36e-01    4.9e-05
  45200      4.02e+00    4.95e+00      1.16e-01    3.91e-03      1.79e-01    2.24e-01    4.9e-05
  45400      1.10e+00    4.18e+00      2.75e-02    3.76e-02      4.95e-02    1.88e-01    4.9e-05
  45600      3.68e+00    4.30e+00      1.02e-02    2.16e-01      1.66e-01    1.87e-01    4.9e-05
  45800      3.28e+00    2.54e-01      6.76e-02    3.39e-01      1.47e-01    5.14e-17    4.9e-05
  46000      3.23e+00    4.14e+00      2.49e-02    1.65e-02      1.46e-01    1.87e-01    4.9e-05
  46200      4.26e+00    4.05e+00      1.31e-02    3.58e-02      1.93e-01    1.83e-01    4.9e-05
  46400      3.87e+00    5.06e+00      3.64e-01    3.53e-01      1.06e-01    2.11e-01    4.9e-05
  46600      1.39e+00    4.00e+00      1.43e-02    7.56e-03      6.29e-02    1.81e-01    4.9e-05
  46800      3.34e+00    3.86e+00      7.55e-02    1.24e-03      1.50e-01    1.74e-01    4.9e-05
  47000      2.93e+00    4.72e+00      4.23e-03    9.94e-02      1.32e-01    2.12e-01    4.9e-05
  47200      3.39e+00    2.81e+00      4.51e-02    4.29e-03      1.53e-01    1.27e-01    4.9e-05
  47400      5.84e+00    4.04e+00      1.26e-02    3.38e-02      2.64e-01    1.82e-01    4.9e-05
  47600      9.99e-01    5.20e+00      2.69e-02    6.08e-02      4.50e-02    2.34e-01    4.9e-05
  47800      4.31e+00    2.70e+00      6.31e-02    4.21e-02      1.94e-01    1.22e-01    4.9e-05
  48000      3.24e+00    2.94e+00      2.39e-04    1.71e-02      1.47e-01    1.33e-01    4.9e-05
  48200      7.53e+00    3.27e+00      1.62e-02    2.28e-02      3.41e-01    1.48e-01    4.9e-05
  48400      8.81e-01    3.53e+00      2.97e-03    2.41e-03      3.98e-02    1.60e-01    4.9e-05
  48600      6.62e+00    6.02e+00      5.04e-01    4.92e-01      2.72e-01    2.44e-01    4.9e-05
  48800      1.31e+00    1.14e+00      3.46e-02    4.23e-01      5.90e-02    4.73e-02    4.9e-05
  49000      5.77e+00    2.97e+00      5.35e-02    2.31e-02      2.60e-01    1.34e-01    4.9e-05
  49200      3.75e+00    3.87e+00      1.53e-02    4.46e-02      1.69e-01    1.74e-01    4.9e-05
  49400      4.25e+00    3.57e+00      2.26e-02    7.10e-03      1.92e-01    1.61e-01    4.9e-05
  49600      5.19e+00    3.95e+00      1.64e-02    1.65e-02      2.35e-01    1.79e-01    4.9e-05
  49800      4.50e+00    3.14e+00      3.54e-02    2.92e-02      2.03e-01    1.42e-01    4.9e-05
  50000      3.84e+00    5.59e+00      2.74e-02    2.96e-02      1.80e-01    2.63e-01    4.5e-05
  50200      8.08e+00    2.40e+00      1.03e-02    3.74e-02      3.80e-01    1.12e-01    4.5e-05
  50400      3.63e+00    3.71e+00      3.18e-02    3.78e-03      1.70e-01    1.75e-01    4.5e-05
  50600      1.20e+00    3.23e+00      1.83e-02    7.38e-02      5.62e-02    1.51e-01    4.5e-05
  50800      1.11e+00    4.87e+00      2.70e-02    2.61e-02      5.20e-02    2.29e-01    4.5e-05
  51000      1.02e+00    2.98e+00      1.82e-02    4.42e-02      4.78e-02    1.40e-01    4.5e-05
  51200      2.45e+00    3.74e+00      7.90e-02    1.92e-02      1.13e-01    1.76e-01    4.5e-05
  51400      9.38e-01    4.51e+00      8.54e-03    3.69e-02      4.41e-02    2.11e-01    4.5e-05
